Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
Data Scientist Virtual Hiring Event,$63K - $138K (Glassdoor est.),"The Challenge Are you excited at the prospect of unlocking the secrets held by a data set? Are you fascinated by the possibilities presented by the IoT, machine learning, and artificial intelligence advances? In an increasingly connected world, massive amounts of structured and unstructured data open up new opportunities. As a data scientist, you can turn these complex data sets into useful information to solve global challenges. Across private and public sectors — from fraud detection, to cancer research, to national intelligence — you know the answers are in the data. We have an opportunity for you to use your analytical skills to improve a Joint Combatant Command client. You’ll work closely with your client to understand their questions and needs, then dig into their data-rich environment to find the pieces of their information puzzle. You'll develop algorithms, write scripts, build predictive analytics, use automation, apply machine learning, and use the right combination of tools and frameworks to turn that set of disparate data points into objective answers to help our customers make informed decisions. You’ll provide your customer with a deep understanding of their data, what it all means, and how they can use it. Empower change with us. You Have: Experience with machine learning, data mining, statistics, data science, or software programming Knowledge of R, Python, SAS, or SPSS for data analysis Knowledge of Java Ability to obtain a security clearance Bachelor’s Degree Clearance Applicants selected will be subject to a security investigation and may need to meet eligibility requirements for access to classified information.",4.2,"Booz Allen Hamilton
4.2","Washington, DC",10000+ Employees,1914,Company - Public,Consulting,Business Services,$5 to $10 billion (USD)
Big Data Scientist / Remote / Senior,Employer Provided Salary:$155K - $175K,"Location of role: 100% remote role
Salary or Hourly range: up to 175K Depending on experience DOE
Key Points of the role:
Masters or PhD in a quantitative discipline (Computer Science Mathematics Statistics ML/AI Engineering Econometrics or equivalent).
7-10 years experience and high proficiency in data acquisition and manipulation of large datasets using databases in multiple environments.
7-10 years experience and high proficiency in Big Data programming languages.
High proficiency in the use of statistical packages.
Advanced experience and deep fundamental knowledge of supervised unsupervised reinforcement learning machine learning algorithms such as classifiers cluster analysis dimension reduction regression ANN CNN RNN Gradient Boosting Random Forests Bayesian Inference NLP/NLU etc. predictive and optimization modeling.",5.0,"Paul May & Associates
5.0",Remote,1 to 50 Employees,-1,Company - Public,-1,-1,Unknown / Non-Applicable
Data Scientist I - US Remote Eligible,Employer Provided Salary:$76K - $129K,"At Edward Jones, we help clients achieve their serious, long-term financial goals by understanding their needs and implementing tailored solutions. To ensure a personal client experience, we have located our 14,000+ branch offices where our more than 7 million clients live and work.

A typical branch office has one financial advisor who meets with clients face-to-face and one branch office administrator who enhances the team's ability to build deep relationships with clients. Headquarters associates in St. Louis and Tempe provide support and expertise to help U.S. and Canada branch teams deliver an ideal client experience. Edward Jones currently has more branch offices than any other financial services firm, and we continue to grow to meet the needs of long-term individual investors.
Data Scientist
Firm Analytics

Come join us in Firm Analytics, where we strive to unleash the full potential of data and AI to address business challenges. As a Data Scientist on our team, you will design, develop and deliver data science solutions requiring advanced mathematical methods, statistical and machine learning models in support of data-driven strategies. You will combine data from multiple sources to develop innovative solutions to business problems and collaborate with business partners and other data scientists to develop tailored analytic solutions that inform and influence business decisions across the firm.






Salary: $75962 - $129341
Category: Headquarters",3.9,"EDWARD JONES
3.9","Saint Louis, MO",10000+ Employees,1922,Company - Private,Investment Banking & Asset Management,Finance,$5 to $10 billion (USD)
Image Data Scientist - Computational Pathology,$57K - $106K (Glassdoor est.),"At Reveal, we believe that data matters. Help us use the power of data to innovate the field of pathology and improve global healthcare. Our proprietary deep learning-based platform, ImageDx™, delivers scientists and pathologists a novel class of actionable, quantitative data to accelerate research and enhance patient care.
We are seeking an enthusiastic and talented image data scientist to join our computational pathology team. The successful candidate will be a key member of the team developing new technical approaches for our computer-assisted diagnosis digital pathology products. This is an excellent opportunity to work on challenging, interesting projects with great potential for significant societal impact.
The successful candidate will enjoy working in a highly collaborative environment developing, cutting-edge products. Excellent communication and creative problem-solving skills are required. Previous experience in digital pathology, high content screening, or large biomedical image sets is a plus.",4.7,"Reveal Biosciences
4.7","San Diego, CA",1 to 50 Employees,-1,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Less than $1 million (USD)
"Data Scientist Personalization- (Remote AZ, CA, CT, FL, IL, MD, MA, MI, MS, NV, NJ, NY, OH, PA, TX, VA, WA)",-1,"Location:
US, Nevada
Become one of the stars behind The SHOW and become part of the world’s most powerful entertainment brands. Our Company has one exciting mission: To entertain the human race.
PRIMARY PURPOSE:
MGM Resorts International is embarking on a multi-year journey to redefine the casino resort and entertainment experience for guests, in order to deliver a 1:1 personalized experience. To support this effort, a highly cross-functional Personalization team is being formed within the Commercial group. This team will be tasked with rapidly building, testing, and scaling high-priority use cases that drive incremental revenues and move the business closer to the goal of a 1:1 personalized guest experience. These use cases require development of advanced analytical models and data features, including implementation of current and emerging machine learning techniques. This role directly supports the creation and evolution of these tools.The Data Scientist role resides in the Personalization group within the MGM Commercial organization, reporting to the Personalization leader. The Data Scientist is a critical contributor to the mobilization of MGM’s Personalization effort, as well as the continual testing-optimizing-scaling of Personalization use cases. The Data Scientist will be working collaboratively with the Data Architecture, Data Science, Systems Integration, and Business Strategy teams within the cross-functional Personalization team. This role is responsible for all aspects of the analytical modeling and machine learning implementation within the lab, as well as the experimental design, test execution, and measurement required to enable MGM Resorts’ Personalization use cases.",3.6,"MGM Resorts International
3.6","Las Vegas, NV",10000+ Employees,2001,Company - Public,"Hotels, Motels, & Resorts",Travel & Tourism,$10+ billion (USD)
"Data Scientist, Distribution Strategy",$76K - $148K (Glassdoor est.),"Job Description:
The Wall Street Journal is looking for a data scientist to help drive our newsroom distribution strategy. The goal of the role is to examine and make recommendations on how we distribute our news content, on and off platform. This job involves in-depth data analysis/modeling, strategic thinking, and a strong knowledge of audience segmentation and engagement practices. The results of your work will impact the way we produce and distribute our journalism.
You will sit within the Journal's programming strategy team, which is a team at the nexus of news and product thinking. The team focuses on the best way to bring digital innovation to the newsroom and works with our editors as well as our product and engineering teams on great news experiences that resonate with our audiences, current and future. You will be a close partner to the strategy editors in this group who are embedded in coverage areas throughout the newsroom. While the strategy editors focus on specific areas of coverage, data scientists focused on distribution strategy look at the whole picture, addressing where we have missed opportunities for coverage, where we have too much coverage and scheduling as well as placement practices. You will have the opportunity to solve problems alongside newsroom leaders and inform their decision making.",3.8,"Dow Jones
3.8","New York, NY",5001 to 10000 Employees,1882,Subsidiary or Business Segment,News Outlet,Media,$500 million to $1 billion (USD)
Data Scientist,$80K - $156K (Glassdoor est.),"Discovery is at the core of everything we do - whether it’s a great value, incredible style, or building long-lasting partnerships with people around the world. That’s what makes TJX different. You can find it all across our brands: TJ Maxx, Marshalls, HomeGoods, Sierra, and Homesense. Every one of our brands has one thing in common: environments that are always changing. That’s just how we like it. Every day is an opportunity to discover something new about our business, our partnerships, and even about yourself. Come discover what different can mean for you.

Posting Notes: Framingham || MA

Data Scientist",3.7,"TJX Companies
3.7","Framingham, MA",10000+ Employees,1976,Company - Public,"Department, Clothing, & Shoe Stores",Retail,$10+ billion (USD)
Data Scientist,$79K - $136K (Glassdoor est.),"Our Opportunity:
Chewy's Supply Chain Team is seeking a Data Scientist to join the growing Supply Chain Forecasting Analytics team in Dania Beach, FL. Combining a background in Supply Chain with a deep understanding of analytics and data science, you will be a part of a team responsible for strategic forecasting and research initiatives centered around our operations and planning. This includes retrieving data from different resources and implementing forecasting models to produce accurate predictions and root causing the forecast misses. The Supply Chain team operates in a fast-paced environment where every day brings new challenges and new opportunities. You will be responsible for designing and implementing solutions and technologies which will handle the growing business needs and play a key role in redefining what it means to be a world-class ecommerce organization.
What You'll Do:",3.2,"Chewy
3.2","Dania Beach, FL",10000+ Employees,2011,Company - Public,Pet & Pet Supplies Stores,Retail,$2 to $5 billion (USD)
Data Scientist and Engineer,Employer Provided Salary:$125K,"DATA SCIENTIST
Here's your rare opportunity to join our client's exciting, fast-growing, and dynamic team in Suffern, NY!
About you:
You have 3++ years of solid expertise in developing market forecasting, analysis and campaign reporting.
You have strong experience in R or Python
Java, Alteryx, VBA, SQL, ETL a plus.
You’re well-spoken, and can verbally communicate well with Fortune 500 clients.",-1,PAIIR Solutions,"Suffern, NY",-1,-1,-1,-1,-1,-1
Predictive Modeler,Employer Provided Salary:$75K - $125K,"Predictive Modeler
Lancer Insurance Company, Inc. – Long Beach, NY
Lancer Insurance Company is looking for a talented and motivated predictive modeler to work with a data architect and/or data scientist to develop predictive models to provide modeling solutions that meet organizational needs and to perform in-depth analysis to guide and support strategic business decisions. The right candidate will be a successful communicator and self-starter with strong analytical skills who exhibits creativity, hustle, integrity, and teamwork.
Duties and Responsibilities:
· Identify areas where data can be used to improve business activities, defining business users’ requirements. Make recommendations for the usage of data in business and communicate the benefits and return on investment for application and product owners.",3.3,"Lancer Insurance Company
3.3",Remote,201 to 500 Employees,1985,Company - Private,Insurance Carriers,Insurance,$100 to $500 million (USD)
"Data Scientist, Operations Decision Science",$72K - $153K (Glassdoor est.),"United States, Georgia, Atlanta
Ops Control
07-Dec-2020
Ref #: 4168
LinkedIn Tag: #LI-LG2 How you'll help us Keep Climbing (overview & key responsibilities) The Operations Analysis & Performance (OAP) team at Delta provides analytical support across all major operations areas of the company. OAP's newly formed decision science team seeks a data science analytics leader to take on developing insights, models and solutions aimed at continually improving airline performance and decision making.
An appropriate candidate will have a proven experience in data model building, optimization, machine learning techniques and other analytics solution building. The candidate should have excellent organizational and communication skills and feel comfortable in a fast-paced environment. The role will support the delivery of an analytics transformation at Delta Air Lines. Primary Functions:

Identify and develop high-impact insights and data models
Develop optimization solutions for complex business problems (large network based environment)
Inspire and execute data analytics transformation at Delta Air Lines
Partner with Information Technology to optimize and enhance the database environment for optimal efficiency and best practices
Provide technical leadership to the Delta's business units
Leverage emerging technologies and identify efficient and meaningful ways to disseminate data and analysis in order to satisfy the business needs
Mentor junior members in technical proficiency and business acumen
Lead complex process improvement and project management engagements for both individual business units and cross-divisional initiatives.
Interface with business unit leaders to develop and maintain internal customer relationships
Practices safety-conscious environment resulting in employee safety and well-being What you need to succeed (minimum qualifications)
Embraces diverse people, thinking and styles
Consistently makes safety and security, of self and others, the priority
Where permitted by applicable law, must have received or be willing to receive the COVID-19 vaccine by date of hire to be considered for U.S.-based job, if not currently employed by Delta Air Lines, Inc.
Proficiency in working with relational databases and query authoring (SQL)
Proficiency in Data Model building (Python, R, SAS and other machine learning platform)
Proficiency in deep learning technique/platform What will give you a competitive edge (preferred qualifications)
Bachelor's degree in Data Science, Statistics, Mathematics, Operations Research, Computer Science, or equivalent combination of education and experience (PH. D or Master's degree preferred)
Working knowledge of API Consumption preferred
Working knowledge of simulation experience preferred
Strong written, oral communication, and interpersonal skills
Strong project management, organizational, and prioritizations skills < Go back",4.4,"Delta
4.4","Atlanta, GA",10000+ Employees,1928,Company - Public,Airlines,Travel & Tourism,$10+ billion (USD)
Data Analyst,$49K - $101K (Glassdoor est.),"Job Description:
Job Description:
The Membership group makes it easier for people to read, share, and subscribe to Dow Jones’ award-winning journalism. We’re focused on reaching new audiences and making our products relevant and accessible to all types of decision-makers—from students to young professionals, parents to retirees.
We are looking for an enthusiast in exploratory data analysis and predictive modeling, with experience working with both marketers and product managers, to join our Data Science & Strategy team inside the Dow Jones Membership group.
What you’ll do:",3.8,"Dow Jones
3.8","New York, NY",5001 to 10000 Employees,1882,Subsidiary or Business Segment,News Outlet,Media,$500 million to $1 billion (USD)
Data Scientist,$64K - $116K (Glassdoor est.),"Relocation Assistance Offered Within Country
# 108220 - Seattle, Washington, United States

Position Information:

We are looking for a Data Scientist who will support our cross-functional teams with insights gained from analyzing company data. The ideal candidate is adept at using large data sets to find opportunities for product and process optimization and using models to test the effectiveness of different courses of action. They must have strong experience using a variety of data mining/data analysis methods, using a variety of data tools, building and implementing models, using/creating algorithms and creating/running simulations. They must have a proven ability to drive business results with their data-based insights. They must be comfortable working with a wide range of stakeholders and functional teams. The right candidate will have a passion for discovering solutions hidden in large data sets and working with stakeholders to improve business outcomes.",3.9,"Hill's Pet Nutrition
3.9","Seattle, WA",1001 to 5000 Employees,1907,Company - Public,Consumer Products Manufacturing,Manufacturing,$2 to $5 billion (USD)
Data Scientist,$113K - $201K (Glassdoor est.),"TikTok is the leading destination for short-form mobile video. Our mission is to inspire creativity and bring joy. TikTok has global offices including Los Angeles, New York, London, Paris, Berlin, Dubai, Mumbai, Singapore, Jakarta, Seoul and Tokyo.
Recommendation algorithm team plays a central role in the company, driving critical product decisions and platform growth. The team is made up of machine learning researchers and engineers, who support and innovate on production recommendation models and drive product impact. The team is dynamic, fast-pacing, collaborative and impact-driven.
Responsibilities - What You'II Do
Design and analyze experiments to verify product hypothesis and direction;
Audit quality of launch experiment results and guarantee correct measurement of product or technical changes' impact;
Keep track of core metrics and attribute metrics changes to root causes;",3.6,"TikTok
3.6","Mountain View, CA",501 to 1000 Employees,2016,Company - Private,Internet,Information Technology,Unknown / Non-Applicable
Machine Learning Scientist / Data Scientist,-1,"Location: this is a remote position
Classification: Exempt
Reports to: Chief Scientific Officer
Date: 10/15/2021
Who is Dynam.AI?
Dynam.AI provides customers across the globe with platform-enabled AI solutions built to uplevel any organization in any industry. Dynam.AI's detection, prediction, and optimization technologies have emerged from years of intensive research and development by a team of world-leading AI physicists and engineers. Dynam.AI's suite of AI-enabled solutions is uniquely adaptable to tackle specific business needs, all while setting the industry standard in precision and accuracy. Dynam.AI is a portfolio company of Analytics Ventures, named Best VC for Artificial Intelligence by Awards.AI.",-1,Dynamai Inc,"San Diego, CA",-1,-1,-1,-1,-1,-1
Data Scientist,$67K - $124K (Glassdoor est.),"Req ID: 156257

NTT DATA Services strives to hire exceptional, innovative and passionate individuals who want to grow with us. If you want to be part of an inclusive, adaptable, and forward-thinking organization, apply now.

We are currently seeking a Data Scientist to join our team in Dallas, Texas (US-TX), United States (US).

NTT Data Services is Hiring!

This is a fully Remote/Work at Home position.

Data Scientist:

The Data Scientist will work with group of other Data Scientists, Data Engineers, Developers, and Product Owners in a multifunctional and Agile environment to develop Advanced Analytics products and Machine Learning models and bring them into production.









NTT DATA Services is a global business and IT services provider specializing in digital, cloud and automation across a comprehensive portfolio of consulting, applications, infrastructure and business process services. We are part of the NTT family of companies, a partner to 85 % of the Fortune 100.

https://us.nttdata.com/en/about-us/content/diversity-and-inclusion. Furthermore, NTT DATA Services will make accommodations for eligible applicants on a case-by-case basis. Please emailEEOOfficer@nttdata.com for assistance.

INDAPPS

Dallas

Fort Worth


Database, Consulting, SQL, Cloud, Business Intelligence, Technology

Apply now »








a.dialogApplyBtn {
display: none;
}",3.5,"NTT DATA
3.5","Dallas, TX",1001 to 5000 Employees,-1,Company - Private,IT Services,Information Technology,$25 to $50 million (USD)
Data Scientist - SQL/Tableau,$66K - $128K (Glassdoor est.),"Job Title: Data Scientist - SQL/Tableau
Location: Seattle, WA or Menlo Park, CA
Duration: 6 Months

Summary:
The main function of the Data Scientist is to produce innovative solutions driven by exploratory data analysis from complex and high-dimensional datasets.

Responsibilities
Apply knowledge of statistics, machine learning, programming, data modeling, simulation, and advanced mathematics to recognize patterns, identify opportunities, pose business questions, and make valuable discoveries leading to prototype development and product improvement.










IND123",4.5,"Ursus
4.5","Seattle, WA",51 to 200 Employees,2015,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable
Sr. Data Scientist,$79K - $141K (Glassdoor est.),"Location: 1000 Nicollet Mall, Minneapolis, Minnesota, United States, 55403-2542
Join Target’s Data Science and Analytics team where your goal will be to accelerate omni-channel experimentation to foster a culture of continuous innovation at Target. We believe that continuous innovation is critical to delivering and exceeding our brand promise of “Expect More Pay Less” to Target’s guests irrespective of their preferred channel of engagement and commerce. You will enable continuous innovation and drive business performance in our Merch Planning Data Sciences space.
A role with Data Science and Analytics is a chance to help develop our in-house strength for getting the maximum value from Target’s many data assets. We see data as a product and an opportunity to experiment and refine our approach to new guest experiences. Together, we positively impact changes to various initiatives, processes and interdependencies that require exceptional data collection, measurement and analysis—ultimately leading to quicker and more meaningful decision-making. This is a role for someone passionate about data, feature experimentation and business strategy.",3.7,"Target
3.7","Minneapolis, MN",10000+ Employees,1962,Company - Public,General Merchandise & Superstores,Retail,$10+ billion (USD)
Staff Data Scientist,-1,"About LegalZoom:
We're here to make legal help accessible to all. LegalZoom transformed the legal industry with the launch of our online services and groundbreaking technology in 2001. Since then, millions of customers have counted on us to officially start and run businesses, protect brands and intellectual property, and look after loved ones through wills and trusts.
As the industry leader for over 20 years, innovation remains at the center of all we do. We're creative thinkers and problem solvers with a passion for building legal and tax products that make a positive impact on the world, and we're always looking for exceptional people to push us further.
With us, you'll do work that's as rewarding as it is challenging with a team where every voice matters and diversity, equality, and inclusion are truly embraced. Together, we'll continue to democratize the law and make a real difference in the lives of millions.",3.3,"LegalZoom
3.3",Remote,1001 to 5000 Employees,2001,Company - Public,IT Services,Information Technology,Unknown / Non-Applicable
Data Scientist,$82K - $150K (Glassdoor est.),"When you join Verizon
Verizon is a leading provider of technology, communications, information and entertainment products, transforming the way we connect across the globe. We’re a diverse network of people driven by our ambition and united in our shared purpose to shape a better future. Here, we have the ability to learn and grow at the speed of technology, and the space to create within every role. Together, we are moving the world forward – and you can too. Dream it. Build it. Do it here.
What you’ll be doing...
In this technical lead role, you will use with AI expertise and experience with implementation of AI in commercial applications (500m dollar plus business applications) to serve as an expert in ethical AI, particularly including areas such as fairness and bias in datasets, models and products, explainable machine learning, and machine learning audit.
You will work closely with data science and engineering teams and the entire data scientist community at Verizon in proactively researching, designing and implementing Verizon’s demonstrable AI fairness, accountability and transparency. You will also significantly influence the formation and implementation of Verizon’s ethical AI best practice to safeguard Verizon’s responsible AI innovations and applications.
At Verizon, we are on a multi-year journey to industrialize our data science and AI capabilities. Very simply, this means that AI will fuel all decisions and business processes across the company. At 130B+ dollars in annual revenue, this is a pioneering opportunity to design and shape AI at scale in the Telco industry. With our leadership in bringing 5G network nationwide, the opportunity for AI will only grow exponentially in going from enabling billions of predictions to possibly trillions of predictions that are automated and real-time. Therefore, it will be critical that this candidate possess previous experience in research and validation of AI and data science techniques.




Internal ID: 577410",3.9,"Verizon
3.9","Laguna Niguel, CA",10000+ Employees,2000,Company - Public,Telecommunications Services,Telecommunications,$10+ billion (USD)
Senior Data Scientist,$123K - $200K (Employer est.),"Your Opportunity

We are looking for a curious, optimistic, and innovative data scientist who takes initiative to solve problems that help our clients and one another succeed. Our large client base and multi-channel transaction volume offers a fertile data environment to build models, discover new insights, and guide decision-making at Schwab.

Data Science is an enterprise team within the Data, Analytics, and Insight (DAI) organization that builds models and provides advanced analytical support across all business units including retail, institutional, marketing, digital, and operations. Our data scientists collaborate directly with business, product, technology, and other analytical teams in DAI to solve complex business problems by building state-of-the-art models and tools to grow the business, streamline costs, and improve customer experiences.",3.9,"Charles Schwab
3.9","Lone Tree, CO",10000+ Employees,1973,Company - Public,Investment Banking & Asset Management,Finance,$10+ billion (USD)
